Source,Target,Type,Weight
2,4,Undirected,0.67111
2,5,Undirected,0.67814
2,6,Undirected,0.44249
2,10,Undirected,0.61262
2,12,Undirected,0.55453
2,14,Undirected,0.43665
2,16,Undirected,0.46247
4,5,Undirected,0.57466
4,6,Undirected,0.46416
4,10,Undirected,0.67934
4,12,Undirected,0.62411
4,14,Undirected,0.50925
4,16,Undirected,0.55363
5,6,Undirected,0.44515
5,10,Undirected,0.56333
5,12,Undirected,0.50168
5,14,Undirected,0.41716
5,16,Undirected,0.44643
6,10,Undirected,0.50213
6,14,Undirected,0.51557
6,16,Undirected,0.44234
10,12,Undirected,0.51743
10,14,Undirected,0.54898
10,16,Undirected,0.57223
11,12,Undirected,0.32273
14,16,Undirected,0.52433
