Id,Label,Category
2,at1,4
4,cd1,1
5,clt,4
6,lr1,4
7,lv1,1
9,msb,1
10,pc1,4
11,pp1,3
12,rn1,1
13,sa,1
14,sd2,4
15,sw1,2
16,ys1,4
