Source,Target,Type,Weight
2,4,Undirected,0.63137
2,5,Undirected,0.76326
2,6,Undirected,0.5553
2,7,Undirected,0.72866
2,9,Undirected,0.61854
2,10,Undirected,0.80958
2,12,Undirected,0.53698
2,13,Undirected,0.61792
2,14,Undirected,0.65188
2,15,Undirected,0.71582
2,16,Undirected,0.79256
4,5,Undirected,0.60941
4,7,Undirected,0.72638
4,9,Undirected,0.68171
4,10,Undirected,0.6678
4,12,Undirected,0.74987
4,13,Undirected,0.75073
4,14,Undirected,0.54182
4,15,Undirected,0.67346
4,16,Undirected,0.50078
5,6,Undirected,0.55366
5,7,Undirected,0.75114
5,9,Undirected,0.59128
5,10,Undirected,0.79342
5,12,Undirected,0.54864
5,13,Undirected,0.58694
5,14,Undirected,0.6367
5,15,Undirected,0.69847
5,16,Undirected,0.75278
6,7,Undirected,0.42211
6,10,Undirected,0.52159
6,14,Undirected,0.54748
6,15,Undirected,0.45008
6,16,Undirected,0.67014
7,9,Undirected,0.64096
7,10,Undirected,0.78601
7,12,Undirected,0.67838
7,13,Undirected,0.65601
7,14,Undirected,0.69447
7,15,Undirected,0.74286
7,16,Undirected,0.67331
9,10,Undirected,0.65981
9,12,Undirected,0.58998
9,13,Undirected,0.66719
9,14,Undirected,0.52549
9,15,Undirected,0.60517
9,16,Undirected,0.53698
10,12,Undirected,0.58898
10,13,Undirected,0.63163
10,14,Undirected,0.6804
10,15,Undirected,0.78376
10,16,Undirected,0.76068
11,12,Undirected,0.36452
12,13,Undirected,0.62645
12,14,Undirected,0.48749
12,15,Undirected,0.68179
12,16,Undirected,0.42883
13,14,Undirected,0.47825
13,15,Undirected,0.60699
13,16,Undirected,0.46932
14,15,Undirected,0.69941
14,16,Undirected,0.64551
15,16,Undirected,0.66917
