Source,Target,Type,Weight
2,4,Undirected,0.72323
2,5,Undirected,0.61958
2,6,Undirected,0.49056
2,7,Undirected,0.74841
2,10,Undirected,0.76218
2,11,Undirected,0.29058
2,12,Undirected,0.73066
2,13,Undirected,0.64424
2,16,Undirected,0.57294
4,5,Undirected,0.54245
4,6,Undirected,0.32746
4,7,Undirected,0.71823
4,10,Undirected,0.73749
4,12,Undirected,0.82563
4,13,Undirected,0.82842
4,16,Undirected,0.51596
5,6,Undirected,0.75237
5,7,Undirected,0.76705
5,10,Undirected,0.75981
5,12,Undirected,0.53065
5,13,Undirected,0.49656
5,16,Undirected,0.76791
6,7,Undirected,0.60037
6,10,Undirected,0.57761
6,12,Undirected,0.31391
6,16,Undirected,0.69873
7,10,Undirected,0.87098
7,12,Undirected,0.70208
7,13,Undirected,0.65011
7,16,Undirected,0.72
10,12,Undirected,0.71101
10,13,Undirected,0.67921
10,16,Undirected,0.71215
12,13,Undirected,0.73557
12,16,Undirected,0.51167
13,16,Undirected,0.4866
