Source,Target,Type,Weight
2,4,Undirected,0.87354
2,5,Undirected,0.77648
2,6,Undirected,0.66005
2,7,Undirected,0.87727
2,10,Undirected,0.78301
2,12,Undirected,0.82272
2,13,Undirected,0.79092
2,16,Undirected,0.84056
4,5,Undirected,0.68555
4,6,Undirected,0.5746
4,7,Undirected,0.82207
4,10,Undirected,0.86352
4,12,Undirected,0.90342
4,13,Undirected,0.842
4,16,Undirected,0.7643
5,6,Undirected,0.70001
5,7,Undirected,0.79855
5,10,Undirected,0.72437
5,12,Undirected,0.68156
5,13,Undirected,0.6066
5,16,Undirected,0.84452
6,7,Undirected,0.65234
6,10,Undirected,0.677
6,12,Undirected,0.57443
6,16,Undirected,0.78657
7,10,Undirected,0.77053
7,12,Undirected,0.80611
7,13,Undirected,0.7383
7,16,Undirected,0.82869
10,11,Undirected,0.56217
10,12,Undirected,0.86986
10,13,Undirected,0.74331
10,16,Undirected,0.82427
11,15,Undirected,0.61821
12,13,Undirected,0.80379
12,16,Undirected,0.7647
13,16,Undirected,0.6775
