Id,Label,Category
2,at1,3
4,cd1,2
5,clt,3
6,lr1,3
7,lv1,2
9,msb,2
10,pc1,3
11,pp1,1
12,rn1,2
13,sa,2
14,sd2,3
15,sw1,2
16,ys1,3
