Id,Label,Category
2,at1,4
3,azz1,1
4,cd1,4
5,clt,4
6,lr1,2
7,lv1,2
8,mcy1,1
10,pc1,4
11,pp1,3
12,rn1,4
14,sd2,2
15,sw1,3
16,ys1,2
