Source,Target,Type,Weight
2,4,Undirected,0.66113
2,5,Undirected,0.55905
2,6,Undirected,0.42035
2,7,Undirected,0.53852
2,10,Undirected,0.71074
2,11,Undirected,0.32536
2,12,Undirected,0.70254
2,13,Undirected,0.74641
2,15,Undirected,0.24177
2,16,Undirected,0.62095
3,12,Undirected,0.21331
4,5,Undirected,0.57076
4,6,Undirected,0.35352
4,7,Undirected,0.52647
4,10,Undirected,0.66987
4,11,Undirected,0.48863
4,12,Undirected,0.657
4,13,Undirected,0.60751
4,15,Undirected,0.3459
4,16,Undirected,0.58394
5,6,Undirected,0.47508
5,7,Undirected,0.43859
5,10,Undirected,0.59434
5,11,Undirected,0.27252
5,12,Undirected,0.47168
5,13,Undirected,0.48706
5,15,Undirected,0.21024
5,16,Undirected,0.6459
6,7,Undirected,0.2817
6,10,Undirected,0.52506
6,11,Undirected,0.34762
6,12,Undirected,0.31392
6,13,Undirected,0.34929
6,15,Undirected,0.31536
6,16,Undirected,0.4498
7,10,Undirected,0.48004
7,11,Undirected,0.25976
7,12,Undirected,0.54675
7,13,Undirected,0.55596
7,15,Undirected,0.24839
7,16,Undirected,0.3657
10,11,Undirected,0.40278
10,12,Undirected,0.66329
10,13,Undirected,0.70661
10,15,Undirected,0.28504
10,16,Undirected,0.62754
11,12,Undirected,0.45772
11,13,Undirected,0.28691
11,15,Undirected,0.5689
11,16,Undirected,0.22824
12,13,Undirected,0.73744
12,15,Undirected,0.29033
12,16,Undirected,0.48566
13,16,Undirected,0.55402
