Source,Target,Type,Weight
2,4,Undirected,0.61668
2,5,Undirected,0.65831
2,6,Undirected,0.54018
2,7,Undirected,0.66715
2,10,Undirected,0.66851
2,12,Undirected,0.60335
2,16,Undirected,0.45444
4,5,Undirected,0.52332
4,6,Undirected,0.47855
4,7,Undirected,0.52612
4,10,Undirected,0.5641
4,11,Undirected,0.3455
4,12,Undirected,0.48933
4,16,Undirected,0.39746
5,6,Undirected,0.70962
5,7,Undirected,0.69358
5,10,Undirected,0.59492
5,12,Undirected,0.43519
5,16,Undirected,0.53798
6,7,Undirected,0.57654
6,10,Undirected,0.57517
6,16,Undirected,0.65281
7,10,Undirected,0.69769
7,12,Undirected,0.53338
7,16,Undirected,0.50258
10,12,Undirected,0.61678
10,16,Undirected,0.52273
