Id,Label,Category
2,at1,1
3,azz1,2
4,cd1,3
5,clt,6
6,lr1,6
7,lv1,4
10,pc1,1
11,pp1,5
12,rn1,1
13,sa,1
15,sw1,5
16,ys1,6
