Id,Label,Category
2,at1,4
3,azz1,3
4,cd1,5
5,clt,5
6,lr1,2
7,lv1,1
10,pc1,4
11,pp1,2
12,rn1,4
13,sa,4
15,sw1,2
16,ys1,5
