Source,Target,Type,Weight
2,3,Undirected,0.49114
2,4,Undirected,0.70166
2,5,Undirected,0.7759
2,6,Undirected,0.56309
2,7,Undirected,0.6592
2,8,Undirected,0.44584
2,10,Undirected,0.77847
2,11,Undirected,0.31822
2,12,Undirected,0.6953
2,14,Undirected,0.49465
2,16,Undirected,0.6176
3,4,Undirected,0.49959
3,5,Undirected,0.52526
3,6,Undirected,0.37294
3,7,Undirected,0.48056
3,8,Undirected,0.45655
3,10,Undirected,0.47998
3,12,Undirected,0.44689
3,14,Undirected,0.36552
3,16,Undirected,0.43439
4,5,Undirected,0.67948
4,6,Undirected,0.59256
4,7,Undirected,0.76807
4,8,Undirected,0.61746
4,10,Undirected,0.79413
4,12,Undirected,0.70768
4,14,Undirected,0.62613
4,16,Undirected,0.58186
5,6,Undirected,0.62505
5,7,Undirected,0.70848
5,8,Undirected,0.46302
5,10,Undirected,0.76001
5,12,Undirected,0.63308
5,14,Undirected,0.56254
5,16,Undirected,0.71061
6,7,Undirected,0.66144
6,8,Undirected,0.38606
6,10,Undirected,0.56479
6,12,Undirected,0.44568
6,14,Undirected,0.63979
6,16,Undirected,0.65134
7,8,Undirected,0.54369
7,10,Undirected,0.76357
7,12,Undirected,0.65314
7,14,Undirected,0.65516
7,16,Undirected,0.72718
8,10,Undirected,0.53085
8,12,Undirected,0.50881
8,14,Undirected,0.54803
8,16,Undirected,0.42736
10,12,Undirected,0.80433
10,14,Undirected,0.62013
10,16,Undirected,0.68733
11,15,Undirected,0.5471
12,14,Undirected,0.54646
12,16,Undirected,0.60601
14,15,Undirected,0.31127
14,16,Undirected,0.67895
