Source,Target,Type,Weight
2,4,Undirected,0.7952
2,5,Undirected,0.54565
2,6,Undirected,0.51488
2,7,Undirected,0.75179
2,9,Undirected,0.59344
2,10,Undirected,0.717
2,12,Undirected,0.62907
4,5,Undirected,0.58078
4,6,Undirected,0.54133
4,7,Undirected,0.78119
4,9,Undirected,0.64557
4,10,Undirected,0.74515
4,12,Undirected,0.63612
5,6,Undirected,0.62312
5,7,Undirected,0.61808
5,9,Undirected,0.42259
5,10,Undirected,0.67119
6,7,Undirected,0.568
6,9,Undirected,0.39294
6,10,Undirected,0.61075
6,12,Undirected,0.39559
7,9,Undirected,0.61229
7,10,Undirected,0.79308
7,12,Undirected,0.56586
9,10,Undirected,0.58655
9,11,Undirected,0.38746
9,12,Undirected,0.47762
10,12,Undirected,0.54454
11,12,Undirected,0.38911
