Source,Target,Type,Weight
2,4,Undirected,0.61315
2,5,Undirected,0.50397
2,6,Undirected,0.3997
2,7,Undirected,0.56331
2,8,Undirected,0.65387
2,10,Undirected,0.60933
2,16,Undirected,0.47269
4,5,Undirected,0.58144
4,6,Undirected,0.51955
4,7,Undirected,0.64227
4,8,Undirected,0.65803
4,10,Undirected,0.71842
4,16,Undirected,0.48748
5,7,Undirected,0.47062
5,8,Undirected,0.52389
5,10,Undirected,0.54185
5,12,Undirected,0.44896
6,8,Undirected,0.43719
6,10,Undirected,0.64789
6,16,Undirected,0.46418
7,8,Undirected,0.53912
7,10,Undirected,0.55679
8,10,Undirected,0.63369
8,16,Undirected,0.42715
10,16,Undirected,0.55356
11,12,Undirected,0.39808
