Source,Target,Type,Weight
2,4,Undirected,0.66634
2,5,Undirected,0.51532
2,7,Undirected,0.58892
2,10,Undirected,0.70348
2,12,Undirected,0.5678
2,13,Undirected,0.61657
2,16,Undirected,0.44418
4,5,Undirected,0.60989
4,7,Undirected,0.70724
4,10,Undirected,0.69425
4,12,Undirected,0.67432
4,13,Undirected,0.66281
4,16,Undirected,0.51326
5,6,Undirected,0.48156
5,7,Undirected,0.60981
5,10,Undirected,0.62097
5,12,Undirected,0.46919
5,13,Undirected,0.51955
5,16,Undirected,0.6314
6,16,Undirected,0.45985
7,10,Undirected,0.63345
7,12,Undirected,0.6118
7,13,Undirected,0.61987
7,16,Undirected,0.47081
10,12,Undirected,0.6186
10,13,Undirected,0.68135
10,16,Undirected,0.50668
11,12,Undirected,0.37954
11,15,Undirected,0.48554
12,13,Undirected,0.65416
13,16,Undirected,0.4419
