Id,Label,Category
2,at1,1
4,cd1,1
5,clt,2
6,lr1,2
7,lv1,2
8,mcy1,1
10,pc1,1
11,pp1,3
12,rn1,1
13,sa,1
15,sw1,3
16,ys1,2
