Id,Label,Category
2,at1,5
3,azz1,4
4,cd1,1
5,clt,2
6,lr1,2
7,lv1,3
10,pc1,5
11,pp1,6
12,rn1,5
13,sa,5
15,sw1,6
16,ys1,2
