Id,Label,Category
2,at1,1
4,cd1,1
5,clt,3
6,lr1,3
7,lv1,3
8,mcy1,1
10,pc1,1
11,pp1,2
12,rn1,1
13,sa,1
15,sw1,2
16,ys1,3
