Source,Target,Type,Weight
2,4,Undirected,0.75244
2,5,Undirected,0.60925
2,6,Undirected,0.55128
2,7,Undirected,0.60463
2,9,Undirected,0.44934
2,10,Undirected,0.67625
2,12,Undirected,0.59117
2,13,Undirected,0.70936
2,16,Undirected,0.6215
4,5,Undirected,0.59288
4,6,Undirected,0.41677
4,7,Undirected,0.61855
4,9,Undirected,0.54417
4,10,Undirected,0.71962
4,12,Undirected,0.71062
4,13,Undirected,0.77997
4,16,Undirected,0.54324
5,6,Undirected,0.44198
5,7,Undirected,0.4194
5,9,Undirected,0.37255
5,10,Undirected,0.50487
5,12,Undirected,0.6177
5,13,Undirected,0.50757
5,16,Undirected,0.49142
6,7,Undirected,0.42655
6,10,Undirected,0.49789
6,13,Undirected,0.43061
6,16,Undirected,0.71656
7,9,Undirected,0.39511
7,10,Undirected,0.52502
7,12,Undirected,0.46425
7,13,Undirected,0.62608
7,16,Undirected,0.47891
9,10,Undirected,0.46902
9,12,Undirected,0.57702
9,13,Undirected,0.56458
10,12,Undirected,0.61217
10,13,Undirected,0.68862
10,16,Undirected,0.57869
11,12,Undirected,0.33427
12,13,Undirected,0.66122
12,16,Undirected,0.37933
13,16,Undirected,0.55727
