Source,Target,Type,Weight
2,4,Undirected,0.5455
2,5,Undirected,0.48768
2,6,Undirected,0.38773
2,7,Undirected,0.52355
2,10,Undirected,0.50419
2,12,Undirected,0.61177
4,5,Undirected,0.57326
4,6,Undirected,0.44095
4,7,Undirected,0.46419
4,10,Undirected,0.66356
4,11,Undirected,0.3281
4,12,Undirected,0.57488
4,14,Undirected,0.49822
4,16,Undirected,0.40876
5,7,Undirected,0.49858
5,10,Undirected,0.65409
5,12,Undirected,0.48855
5,14,Undirected,0.37948
5,16,Undirected,0.488
6,7,Undirected,0.35275
6,14,Undirected,0.39406
6,16,Undirected,0.3351
7,10,Undirected,0.50312
7,12,Undirected,0.43646
7,14,Undirected,0.35614
7,16,Undirected,0.34315
10,12,Undirected,0.48776
10,14,Undirected,0.36924
12,16,Undirected,0.32455
14,16,Undirected,0.35185
