Source,Target,Type,Weight
2,4,Undirected,0.79341
2,5,Undirected,0.5587
2,6,Undirected,0.51069
2,7,Undirected,0.7508
2,10,Undirected,0.84005
2,12,Undirected,0.84084
2,16,Undirected,0.6586
4,5,Undirected,0.50479
4,6,Undirected,0.47652
4,7,Undirected,0.65112
4,10,Undirected,0.76802
4,11,Undirected,0.39208
4,12,Undirected,0.82243
4,16,Undirected,0.61038
5,6,Undirected,0.60972
5,7,Undirected,0.53267
5,10,Undirected,0.62522
5,12,Undirected,0.52627
5,16,Undirected,0.74416
6,7,Undirected,0.5632
6,10,Undirected,0.61867
6,12,Undirected,0.4794
6,16,Undirected,0.72053
7,10,Undirected,0.72084
7,12,Undirected,0.70812
7,16,Undirected,0.63362
10,12,Undirected,0.84035
10,16,Undirected,0.7619
12,16,Undirected,0.64027
