Id,Label,Category
2,at1,2
3,azz1,1
4,cd1,4
5,clt,4
6,lr1,3
7,lv1,2
10,pc1,4
11,pp1,3
12,rn1,2
13,sa,2
15,sw1,3
16,ys1,4
