Source,Target,Type,Weight
2,3,Undirected,0.76083
2,4,Undirected,0.75828
2,5,Undirected,0.53966
2,6,Undirected,0.45514
2,10,Undirected,0.74284
2,12,Undirected,0.78943
2,13,Undirected,0.73706
2,16,Undirected,0.60164
3,4,Undirected,0.72244
3,5,Undirected,0.60772
3,6,Undirected,0.47041
3,10,Undirected,0.73307
3,12,Undirected,0.75359
3,13,Undirected,0.74447
3,16,Undirected,0.6457
4,5,Undirected,0.50414
4,6,Undirected,0.39199
4,10,Undirected,0.75837
4,12,Undirected,0.86958
4,13,Undirected,0.66895
4,16,Undirected,0.56258
5,6,Undirected,0.54215
5,10,Undirected,0.61771
5,12,Undirected,0.54257
5,13,Undirected,0.60021
5,16,Undirected,0.76527
6,10,Undirected,0.57031
6,11,Undirected,0.37008
6,12,Undirected,0.43955
6,13,Undirected,0.50281
6,16,Undirected,0.64901
10,12,Undirected,0.79819
10,13,Undirected,0.7457
10,16,Undirected,0.72847
12,13,Undirected,0.7135
12,16,Undirected,0.61993
13,16,Undirected,0.64707
