Id,Label,Category
2,at1,4
3,azz1,2
4,cd1,4
5,clt,4
6,lr1,1
7,lv1,1
8,mcy1,2
10,pc1,4
11,pp1,3
12,rn1,4
14,sd2,1
15,sw1,3
16,ys1,1
