Source,Target,Type,Weight
2,4,Undirected,0.85652
2,5,Undirected,0.62691
2,10,Undirected,0.73952
2,12,Undirected,0.80841
2,13,Undirected,0.83056
2,14,Undirected,0.58683
2,16,Undirected,0.63872
4,5,Undirected,0.58421
4,10,Undirected,0.79677
4,12,Undirected,0.84169
4,13,Undirected,0.86966
4,14,Undirected,0.63768
4,16,Undirected,0.62238
5,6,Undirected,0.66977
5,13,Undirected,0.60326
5,16,Undirected,0.75411
6,10,Undirected,0.58275
6,16,Undirected,0.76165
10,12,Undirected,0.71262
10,13,Undirected,0.79344
10,14,Undirected,0.75717
10,16,Undirected,0.66693
11,14,Undirected,0.5721
11,15,Undirected,0.7555
12,13,Undirected,0.82426
12,14,Undirected,0.60028
13,14,Undirected,0.63272
13,16,Undirected,0.62502
