Id,Label,Category
2,at1,3
3,azz1,2
4,cd1,1
5,clt,5
6,lr1,5
7,lv1,3
10,pc1,5
11,pp1,4
12,rn1,3
13,sa,3
15,sw1,4
16,ys1,5
