Id,Label,Category
2,at1,4
4,cd1,2
5,clt,4
6,lr1,4
7,lv1,2
9,msb,2
10,pc1,4
11,pp1,1
12,rn1,2
13,sa,2
14,sd2,4
15,sw1,3
16,ys1,4
