Id,Label,Category
2,at1,4
3,azz1,1
4,cd1,3
5,clt,6
6,lr1,6
7,lv1,2
10,pc1,4
11,pp1,5
12,rn1,4
13,sa,4
15,sw1,5
16,ys1,6
