Source,Target,Type,Weight
2,3,Undirected,0.69709
2,4,Undirected,0.65497
2,5,Undirected,0.57676
2,6,Undirected,0.46012
2,7,Undirected,0.63702
2,8,Undirected,0.64095
2,10,Undirected,0.65744
2,12,Undirected,0.61194
2,13,Undirected,0.70602
2,16,Undirected,0.56812
3,4,Undirected,0.78683
3,5,Undirected,0.71617
3,7,Undirected,0.79542
3,8,Undirected,0.76611
3,10,Undirected,0.78904
3,12,Undirected,0.76551
3,13,Undirected,0.8623
3,16,Undirected,0.6836
4,5,Undirected,0.68986
4,7,Undirected,0.81341
4,8,Undirected,0.76257
4,10,Undirected,0.88656
4,12,Undirected,0.64127
4,13,Undirected,0.74207
4,16,Undirected,0.69881
5,7,Undirected,0.67771
5,8,Undirected,0.61498
5,10,Undirected,0.72739
5,12,Undirected,0.51585
5,13,Undirected,0.65483
5,16,Undirected,0.74321
6,16,Undirected,0.59132
7,8,Undirected,0.73776
7,10,Undirected,0.80374
7,12,Undirected,0.63989
7,13,Undirected,0.7554
7,16,Undirected,0.6971
8,10,Undirected,0.76365
8,12,Undirected,0.7502
8,13,Undirected,0.78022
8,16,Undirected,0.62498
10,12,Undirected,0.65173
10,13,Undirected,0.76849
10,16,Undirected,0.76268
11,12,Undirected,0.45894
12,13,Undirected,0.83625
12,16,Undirected,0.53038
13,16,Undirected,0.66301
