Source,Target,Type,Weight
2,4,Undirected,0.83274
2,5,Undirected,0.7126
2,6,Undirected,0.54341
2,7,Undirected,0.83465
2,8,Undirected,0.86187
2,10,Undirected,0.89245
2,12,Undirected,0.76825
2,13,Undirected,0.79339
2,16,Undirected,0.68613
4,5,Undirected,0.5849
4,7,Undirected,0.77637
4,8,Undirected,0.85418
4,10,Undirected,0.83974
4,12,Undirected,0.75121
4,13,Undirected,0.87427
4,16,Undirected,0.62533
5,6,Undirected,0.73692
5,7,Undirected,0.72918
5,8,Undirected,0.61864
5,10,Undirected,0.72848
5,13,Undirected,0.525
5,16,Undirected,0.74992
6,7,Undirected,0.57558
6,10,Undirected,0.57112
6,16,Undirected,0.75284
7,8,Undirected,0.791
7,10,Undirected,0.8404
7,12,Undirected,0.66821
7,13,Undirected,0.75989
7,16,Undirected,0.74574
8,10,Undirected,0.85446
8,12,Undirected,0.81348
8,13,Undirected,0.82411
8,16,Undirected,0.63863
10,12,Undirected,0.72289
10,13,Undirected,0.78214
10,16,Undirected,0.74511
11,15,Undirected,0.74249
12,13,Undirected,0.72672
12,15,Undirected,0.51459
13,16,Undirected,0.56266
