Source,Target,Type,Weight
2,3,Undirected,0.6704
2,4,Undirected,0.76983
2,5,Undirected,0.62006
2,6,Undirected,0.42999
2,7,Undirected,0.67794
2,10,Undirected,0.72526
2,12,Undirected,0.68518
2,14,Undirected,0.63591
2,16,Undirected,0.634
3,4,Undirected,0.70488
3,5,Undirected,0.50697
3,7,Undirected,0.57942
3,10,Undirected,0.61909
3,12,Undirected,0.64082
3,14,Undirected,0.62539
3,16,Undirected,0.54366
4,5,Undirected,0.57826
4,6,Undirected,0.38858
4,7,Undirected,0.66896
4,10,Undirected,0.79164
4,12,Undirected,0.77339
4,14,Undirected,0.71479
4,16,Undirected,0.57821
5,6,Undirected,0.55136
5,7,Undirected,0.55347
5,10,Undirected,0.62755
5,12,Undirected,0.50625
5,14,Undirected,0.56388
5,16,Undirected,0.7881
6,7,Undirected,0.35727
6,10,Undirected,0.49166
6,14,Undirected,0.45317
6,16,Undirected,0.60382
7,10,Undirected,0.6116
7,12,Undirected,0.61296
7,14,Undirected,0.59675
7,16,Undirected,0.54546
10,12,Undirected,0.75447
10,14,Undirected,0.74651
10,16,Undirected,0.64731
11,12,Undirected,0.35397
12,14,Undirected,0.77837
12,16,Undirected,0.50997
14,16,Undirected,0.57999
