Id,Label,Category
2,at1,3
4,cd1,3
5,clt,1
6,lr1,1
7,lv1,1
8,mcy1,3
10,pc1,3
11,pp1,2
12,rn1,3
13,sa,3
15,sw1,2
16,ys1,1
